,datetime,open,high,low,close,volume
0,2019-09-08,10000.0,10412.65,10000.0,10391.63,3096.291
1,2019-09-09,10316.62,10475.54,10077.22,10307.0,14824.373
2,2019-09-10,10307.0,10382.97,9940.87,10102.02,9068.955
3,2019-09-11,10094.27,10293.11,9884.31,10159.55,10897.922
4,2019-09-12,10163.06,10450.13,10042.12,10415.13,15609.634
5,2019-09-13,10414.96,10440.55,10153.51,10341.34,19252.721
6,2019-09-14,10343.01,10419.97,10222.77,10332.25,20656.624
7,2019-09-15,10333.47,10359.2,10024.81,10302.22,20536.255
8,2019-09-16,10302.0,10353.81,10080.7,10249.27,20185.637
9,2019-09-17,10257.3,10270.63,10136.77,10186.52,22519.607
10,2019-09-18,10183.87,10256.65,10097.92,10155.16,20832.895
11,2019-09-19,10154.7,10331.62,9530.02,10245.3,26228.754
12,2019-09-20,10247.7,10279.3,10070.5,10166.35,23265.91
13,2019-09-21,10166.56,10175.3,9912.63,9983.33,23642.387
14,2019-09-22,9992.7,10089.52,9857.0,10023.04,23916.354
15,2019-09-23,10027.69,10046.91,9620.0,9701.96,31927.062
16,2019-09-24,9701.1,9792.83,8645.61,8645.61,29758.535
17,2019-09-25,8493.32,8725.24,8200.0,8430.07,48222.102
18,2019-09-26,8428.15,8464.4,7700.67,8060.15,60065.945
19,2019-09-27,8061.98,8260.0,7851.94,8176.52,40034.653
20,2019-09-28,8178.26,8311.0,8001.14,8195.38,33820.919
21,2019-09-29,8199.0,8226.35,7888.98,8041.96,35966.056
22,2019-09-30,8042.08,8331.89,7709.01,8285.84,54412.52
23,2019-10-01,8285.31,8499.0,8171.0,8290.0,39212.804
24,2019-10-02,8290.0,8365.92,8149.35,8352.14,30329.179
25,2019-10-03,8353.4,8386.0,8020.0,8220.27,33430.23
26,2019-10-04,8219.95,8227.42,7979.95,8130.56,28421.111
27,2019-10-05,8130.0,8175.0,8010.0,8122.14,30262.006
28,2019-10-06,8122.01,8148.43,7760.0,7852.79,41909.039
29,2019-10-07,7851.01,8330.0,7764.42,8186.88,62760.299
30,2019-10-08,8188.55,8322.01,8103.88,8167.62,44715.165
31,2019-10-09,8168.33,8700.0,8113.0,8559.77,65453.643
32,2019-10-10,8559.77,8640.89,8419.34,8556.02,44285.668
33,2019-10-11,8557.0,8788.0,8210.0,8255.58,69157.964
34,2019-10-12,8255.54,8397.45,8248.34,8300.22,37761.514
35,2019-10-13,8300.31,8456.0,8137.3,8274.66,43820.913
36,2019-10-14,8274.33,8381.77,8205.02,8346.05,61999.821
37,2019-10-15,8346.31,8408.62,8080.0,8160.01,86246.749
38,2019-10-16,8160.55,8184.0,7900.24,7992.21,70434.452
39,2019-10-17,7994.76,8124.63,7930.0,8069.2,58354.602
40,2019-10-18,8069.41,8117.3,7812.0,7943.94,75251.352
41,2019-10-19,7945.57,8108.54,7852.12,7947.13,78024.395
42,2019-10-20,7947.78,8300.5,7871.17,8218.23,78663.915
43,2019-10-21,8218.23,8334.57,8150.0,8201.74,59928.516
44,2019-10-22,8201.0,8290.0,8000.0,8020.89,69506.88
45,2019-10-23,8020.68,8047.78,7172.76,7465.0,108484.139
46,2019-10-24,7465.18,7495.81,7337.44,7411.35,66719.534
47,2019-10-25,7410.07,8800.0,7359.0,8650.0,165118.926
48,2019-10-26,8650.0,10408.48,8626.89,9232.22,248161.161
49,2019-10-27,9234.75,9803.83,9066.07,9533.32,163544.019
50,2019-10-28,9534.37,9930.13,9156.03,9217.36,155599.975
51,2019-10-29,9215.78,9569.1,9070.0,9415.02,124703.014
52,2019-10-30,9415.02,9418.65,8975.72,9165.3,98464.858
53,2019-10-31,9163.4,9438.64,8933.0,9150.0,98836.044
54,2019-11-01,9149.88,9280.0,9050.27,9231.01,87256.949
55,2019-11-02,9231.7,9375.0,9194.98,9287.8,56602.055
56,2019-11-03,9288.96,9366.69,9073.0,9197.88,75612.722
57,2019-11-04,9197.86,9550.0,9126.01,9395.46,90433.357
58,2019-11-05,9395.47,9457.13,9164.33,9313.2,113738.226
59,2019-11-06,9313.1,9450.0,9259.48,9343.6,73767.911
60,2019-11-07,9344.29,9381.93,9091.2,9219.64,77389.569
61,2019-11-08,9221.63,9259.3,8669.85,8775.03,151851.16
62,2019-11-09,8775.6,8878.0,8727.0,8811.15,66846.392
63,2019-11-10,8811.3,9187.0,8760.0,9041.31,91099.197
64,2019-11-11,9041.31,9072.91,8611.11,8728.93,113373.762
65,2019-11-12,8729.89,8889.06,8552.12,8817.0,107520.546
66,2019-11-13,8817.94,8838.0,8712.0,8774.76,58585.811
67,2019-11-14,8774.78,8798.06,8581.39,8642.25,87099.995
68,2019-11-15,8642.47,8780.0,8380.0,8473.27,145602.497
69,2019-11-16,8473.3,8540.54,8435.0,8491.06,48657.04
70,2019-11-17,8491.18,8631.0,8355.78,8504.04,72152.266
71,2019-11-18,8504.13,8504.71,8050.0,8183.26,123477.142
72,2019-11-19,8183.3,8212.87,8000.0,8131.7,110854.03
73,2019-11-20,8131.12,8230.0,8037.5,8094.05,87352.38
74,2019-11-21,8094.57,8131.51,7432.0,7621.9,180289.189
75,2019-11-22,7621.89,7765.03,6762.73,7262.72,371213.951
76,2019-11-23,7261.89,7345.84,7073.38,7305.99,139643.311
77,2019-11-24,7306.19,7324.92,6855.91,6900.86,183676.078
78,2019-11-25,6899.77,7386.29,6510.19,7102.03,333987.914
79,2019-11-26,7103.34,7340.06,7011.9,7150.0,193962.094
80,2019-11-27,7149.97,7669.2,6850.0,7506.77,297842.994
81,2019-11-28,7506.78,7643.0,7356.0,7415.79,175000.609
82,2019-11-29,7417.0,7850.0,7394.57,7736.66,185819.186
83,2019-11-30,7737.23,7800.0,7444.18,7542.93,141966.392
84,2019-12-01,7541.08,7541.08,7222.29,7387.38,196291.252
85,2019-12-02,7388.0,7416.75,7137.74,7291.0,143966.953
86,2019-12-03,7291.74,7404.42,7231.35,7290.86,84699.47
87,2019-12-04,7290.85,7800.0,7070.0,7191.0,274879.481
88,2019-12-05,7189.42,7480.0,7142.54,7384.99,176315.108
89,2019-12-06,7384.66,7602.44,7295.73,7522.1,136218.707
90,2019-12-07,7521.13,7616.91,7467.44,7487.2,83208.782
91,2019-12-08,7487.19,7559.39,7376.0,7508.2,84380.338
92,2019-12-09,7507.87,7676.48,7269.05,7337.49,136440.176
93,2019-12-10,7338.2,7403.71,7152.0,7220.98,126662.794
94,2019-12-11,7220.92,7267.0,7117.74,7205.77,97320.727
95,2019-12-12,7206.78,7295.12,7080.0,7194.77,140594.105
96,2019-12-13,7194.08,7298.0,7190.0,7252.98,80178.833
97,2019-12-14,7252.98,7266.14,7007.86,7061.34,97837.512
98,2019-12-15,7060.79,7196.0,7004.77,7115.0,87933.233
99,2019-12-16,7115.45,7147.34,6831.0,6887.54,117597.89
100,2019-12-17,6887.48,6940.0,6550.0,6618.96,166411.289
101,2019-12-18,6618.96,7479.99,6427.0,7277.44,328489.593
102,2019-12-19,7278.11,7367.87,7042.82,7146.29,158849.566
103,2019-12-20,7146.29,7217.08,7078.17,7184.39,86449.566
104,2019-12-21,7184.39,7185.0,7108.0,7131.01,44340.865
105,2019-12-22,7131.02,7517.61,7122.0,7502.92,129797.395
106,2019-12-23,7502.92,7691.0,7262.0,7314.01,215298.787
107,2019-12-24,7314.03,7434.55,7156.08,7252.04,149081.004
108,2019-12-25,7251.57,7267.63,7123.19,7201.45,96965.072
109,2019-12-26,7201.67,7438.8,7151.0,7197.46,133973.533
110,2019-12-27,7197.84,7270.0,7078.89,7248.4,112284.61
111,2019-12-28,7248.4,7359.15,7235.0,7311.48,91292.882
112,2019-12-29,7310.29,7527.0,7283.6,7383.67,102543.974
113,2019-12-30,7383.68,7400.0,7215.58,7240.43,94375.362
114,2019-12-31,7240.8,7319.0,7141.0,7189.0,89203.437
115,2020-01-01,7189.43,7260.43,7170.15,7197.57,56801.329
116,2020-01-02,7197.57,7209.59,6922.0,6962.04,115295.677
117,2020-01-03,6962.34,7407.28,6863.44,7341.72,208493.458
118,2020-01-04,7341.6,7400.0,7269.21,7350.71,92586.033
119,2020-01-05,7350.54,7495.0,7303.0,7354.36,117765.972
120,2020-01-06,7354.36,7808.65,7345.0,7757.39,168150.317
121,2020-01-07,7757.74,8215.33,7733.0,8152.49,280809.162
122,2020-01-08,8150.9,8468.42,7870.11,8059.84,321225.114
123,2020-01-09,8059.77,8060.0,7750.01,7818.59,187263.143
124,2020-01-10,7817.91,8210.62,7670.0,8207.09,253783.948
125,2020-01-11,8207.2,8292.19,8003.87,8020.56,164741.715
126,2020-01-12,8020.58,8195.0,7956.28,8186.7,108629.964
127,2020-01-13,8186.22,8200.0,8053.78,8113.0,74581.364
128,2020-01-14,8112.99,8893.0,8109.02,8825.0,290777.981
129,2020-01-15,8825.0,8921.2,8570.52,8825.3,237633.837
130,2020-01-16,8825.35,8868.21,8596.25,8725.08,167958.963
131,2020-01-17,8724.99,9039.0,8680.0,8918.72,205717.686
132,2020-01-18,8918.73,8995.0,8816.0,8925.0,114708.682
133,2020-01-19,8925.0,9205.3,8440.91,8705.85,225314.525
134,2020-01-20,8705.98,8750.37,8526.06,8650.0,125161.675
135,2020-01-21,8650.0,8790.1,8448.6,8742.43,107577.153
136,2020-01-22,8742.78,8820.0,8585.85,8684.57,94305.496
137,2020-01-23,8684.47,8694.0,8326.0,8409.6,163407.064
138,2020-01-24,8410.0,8528.0,8247.0,8441.96,144785.391
139,2020-01-25,8442.82,8455.0,8272.0,8344.64,96961.714
140,2020-01-26,8344.37,8624.45,8300.0,8611.21,117898.916
141,2020-01-27,8611.21,9015.48,8565.0,8913.61,172235.328
142,2020-01-28,8913.61,9436.06,8905.0,9398.98,244467.546
143,2020-01-29,9399.72,9460.52,9242.0,9311.0,169460.643
144,2020-01-30,9311.23,9599.0,9210.42,9525.67,190137.536
145,2020-01-31,9525.67,9550.72,9220.0,9364.51,146644.026
146,2020-02-01,9364.5,9477.76,9306.0,9392.74,109040.285
147,2020-02-02,9392.99,9489.92,9160.01,9338.2,148402.977
148,2020-02-03,9340.49,9647.61,9250.0,9300.64,159049.385
149,2020-02-04,9300.63,9368.0,9105.0,9198.35,147843.902
150,2020-02-05,9198.32,9799.08,9179.88,9630.0,212311.697
151,2020-02-06,9630.0,9884.0,9550.0,9778.12,200556.367
152,2020-02-07,9777.97,9900.0,9736.66,9821.52,129740.767
153,2020-02-08,9821.52,9956.0,9680.55,9906.43,129267.269
154,2020-02-09,9906.09,10184.34,9892.15,10167.38,143407.013
155,2020-02-10,10167.37,10213.56,9750.0,9865.56,184242.737
156,2020-02-11,9865.56,10409.96,9729.36,10229.06,190119.815
157,2020-02-12,10230.74,10479.98,10229.71,10339.99,159674.258
158,2020-02-13,10339.64,10540.0,10101.0,10239.63,213052.717
159,2020-02-14,10240.02,10390.0,10123.37,10356.82,130975.746
160,2020-02-15,10356.27,10389.75,9752.3,9914.99,152146.127
161,2020-02-16,9914.31,10060.45,9626.64,9921.86,141547.956
162,2020-02-17,9921.87,9971.0,9461.89,9716.0,185338.179
163,2020-02-18,9716.0,10270.0,9598.0,10174.32,166119.369
164,2020-02-19,10174.53,10286.0,9293.07,9593.65,187495.927
165,2020-02-20,9593.31,9700.0,9382.59,9601.99,143105.587
166,2020-02-21,9601.51,9759.59,9547.0,9681.39,98954.288
167,2020-02-22,9681.39,9710.7,9565.0,9659.2,58419.547
168,2020-02-23,9658.95,10018.9,9657.0,9943.12,97134.358
169,2020-02-24,9943.12,10000.0,9487.38,9662.95,157965.671
170,2020-02-25,9662.88,9686.78,9247.0,9326.0,168641.725
171,2020-02-26,9326.0,9384.0,8610.0,8792.22,267005.172
172,2020-02-27,8793.96,8978.0,8533.9,8828.0,200638.488
173,2020-02-28,8827.12,8908.86,8450.0,8699.57,196066.11
174,2020-02-29,8699.86,8799.83,8530.0,8531.98,103524.685
175,2020-03-01,8532.5,8762.24,8409.0,8537.84,174332.916
176,2020-03-02,8537.84,8972.0,8504.95,8919.7,160294.484
177,2020-03-03,8919.7,8922.34,8657.41,8765.0,160123.605
178,2020-03-04,8765.0,8853.88,8669.23,8756.93,105462.12
179,2020-03-05,8755.98,9172.3,8755.98,9062.81,161840.623
180,2020-03-06,9062.62,9179.75,8994.14,9139.48,115011.583
181,2020-03-07,9139.77,9204.0,8850.0,8897.18,125804.999
182,2020-03-08,8895.62,8897.71,7997.7,8038.46,237407.028
183,2020-03-09,8038.99,8182.31,7635.21,7932.15,334399.107
184,2020-03-10,7932.45,8156.31,7733.0,7897.66,257068.702
185,2020-03-11,7898.21,7988.0,7593.29,7938.39,220537.381
186,2020-03-12,7938.39,7969.0,4347.0,4764.65,784747.02
187,2020-03-13,4762.28,5971.0,3621.81,5570.26,935489.242
188,2020-03-14,5569.84,5638.42,5040.0,5167.01,316242.586
189,2020-03-15,5167.21,5954.47,5089.12,5357.32,356311.765
190,2020-03-16,5354.81,5361.26,4413.62,5026.26,621555.792
191,2020-03-17,5027.11,5529.98,4913.49,5307.38,429908.098
192,2020-03-18,5306.42,5435.0,4982.75,5389.64,402005.703
193,2020-03-19,5389.94,6400.0,5246.5,6159.6,499391.19
194,2020-03-20,6159.41,6911.0,5650.0,6203.77,571898.016
195,2020-03-21,6204.47,6457.17,5854.01,6183.69,387679.649
196,2020-03-22,6183.84,6408.91,5730.35,5810.17,391002.795
197,2020-03-23,5810.3,6619.9,5670.0,6463.84,489746.087
198,2020-03-24,6463.21,6840.0,6369.0,6741.33,437968.553
199,2020-03-25,6740.86,6960.71,6436.26,6673.41,400684.542
200,2020-03-26,6673.57,6777.5,6500.0,6733.76,281245.628
201,2020-03-27,6733.76,6840.0,6230.0,6353.64,258213.519
202,2020-03-28,6353.64,6354.74,6004.0,6230.95,341944.185
203,2020-03-29,6231.81,6260.0,5857.6,5876.27,251335.919
204,2020-03-30,5876.27,6606.15,5850.0,6391.08,387321.998
205,2020-03-31,6389.52,6516.63,6320.0,6407.1,262522.644
206,2020-04-01,6407.1,6693.0,6140.0,6641.51,390529.602
207,2020-04-02,6641.22,7290.0,6542.73,6791.63,531321.428
208,2020-04-03,6791.65,7049.11,6600.0,6729.8,411944.927
209,2020-04-04,6729.8,7020.0,6629.99,6851.1,319849.757
210,2020-04-05,6851.4,6893.44,6668.02,6768.9,239224.508
211,2020-04-06,6768.9,7370.0,6760.0,7325.73,461331.013
212,2020-04-07,7325.73,7457.0,7070.43,7192.9,419572.04
213,2020-04-08,7192.9,7417.83,7145.14,7357.66,332599.575
214,2020-04-09,7357.15,7365.69,7105.98,7278.65,293638.581
215,2020-04-10,7278.83,7290.0,6741.0,6857.82,440148.453
216,2020-04-11,6858.0,6944.28,6757.29,6874.18,224157.844
217,2020-04-12,6874.17,7173.98,6775.66,6900.52,321594.822
218,2020-04-13,6900.19,6900.99,6558.0,6834.0,421954.773
219,2020-04-14,6834.01,6975.6,6751.0,6864.11,280445.427
220,2020-04-15,6864.11,6929.0,6602.59,6616.89,281136.689
221,2020-04-16,6616.88,7190.92,6465.33,7098.15,559868.603
222,2020-04-17,7098.15,7140.0,6981.0,7022.44,277339.601
223,2020-04-18,7022.0,7290.0,7008.11,7242.42,225807.171
224,2020-04-19,7242.49,7258.42,7055.0,7118.03,216975.114
225,2020-04-20,7118.04,7208.55,6735.95,6825.29,445104.981
226,2020-04-21,6825.28,6940.0,6759.16,6838.0,288024.528
227,2020-04-22,6838.0,7154.9,6812.57,7120.06,306482.163
228,2020-04-23,7120.06,7802.38,7020.0,7483.35,472510.047
229,2020-04-24,7483.36,7612.91,7388.0,7504.11,278378.368
